date,value,memo,platform,content_type
2026-07-25,10,3곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-26,278,324개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-26,30,44개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-26,8,2곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-27,181,264개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-27,7,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-27,396,177곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-28,117,94개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-28,2,4개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-28,351,114곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-29,252,257개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-29,4,7개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-29,324,98곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-30,204,255개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-30,13,21개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-30,306,126곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-31,202,218개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-31,16,24개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-31,180,75곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-01,291,260개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-01,8,18개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-01,151,57곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-02,114,110개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-02,0,2개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-02,43,12곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-03,120,137개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-03,3,5개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-03,291,101곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-04,83,68개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-04,1,3개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-04,269,91곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-05,92,54개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-05,43,13곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-06,305,300개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-06,11,25개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-06,220,88곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-07,110,102개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-07,12,17개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-07,56,19곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-08,195,192개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-08,7,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-09,218,190개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-09,3,7개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-09,32,9곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-10,203,217개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-10,6,8개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-10,85,25곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-11,327,327개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-11,4,13개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-11,75,21곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-12,176,161개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-12,3,5개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-12,21,6곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-13,134,158개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-13,2,3개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-13,152,47곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-14,204,238개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-14,5,9개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-14,96,28곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-08-15,225,228개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-15,2,4개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-16,267,291개 시청 (시간 간격 기반 추정),youtube,long_form
2026-08-16,2,7개 시청 (시간 간격 기반 추정),youtube,short_form
2026-08-31,3,1개 시청 (시간 간격 기반 추정),youtube,long_form
